37566;ASS 2019.046;Fazer Contato Terceiro;Cobrar Andamento - Pedro ( via zap );CRI - 1ª Zona;27/12/2019;27/12/2019;;
37565;ASS 2019.003;Arquivar;;;26/12/2019;26/12/2019;;
37564;PRS 2019.031;Fazer Contato Cliente;Ligar dia 02/01 para agendar local pagamento;;26/12/2019;;02/01/2020;
37563;ASS 2018.071;Aguardando Resposta Cliente;Atender solicitação;;26/12/2019;;;
37562;ASS 2018.071;Fazer Contato Cliente;Solicitar valores e assinaturas ( vai vir ano que vem );;26/12/2019;26/12/2019;;
37561;ASS 2016.036;Aguardando Resposta Terceiros;Alcione - Análise;Prefeitura - GL;25/11/2019;;;
37560;PRS 2019.031;Fazer Contato Cliente;Solicitar Assinaturas;Cúria;24/12/2019;;;
37559;PRS 2019.032;Fazer Contato Cliente;Solicitar Assinaturas;Cúria;20/12/2019;;;
37558;PRS 2019.030;Fazer Contato Cliente;Solicitar Assinaturas;Cúria;26/12/2019;;;
37557;ASS 2019.120;Aguardando Resposta Terceiros;Protocolo 120097 - Condomínio ( finalizar );CRI - 1ª Zona;26/12/2019;30/12/2019;;
37556;ASS 2018.124;Fazer Desenho;Retificar a pedido Prefeitura;Lucas;26/12/2019;;;
37555;PAQ 2019.021;Aguardando Resposta Cliente;Vir ao Escritório;;26/12/2019;27/12/2019;;
37554;PAQ 2019.033;Aguardando Resposta Cliente;Vir ao Escritório;;26/12/2019;27/12/2019;26/12/2019;
37553;PAQ 2019.033;Fazer Contato Cliente;Comunicar pedido Prefeitura ( vai vir ao escritório );;26/12/2019;26/12/2019;;
37552;PAQ 2019.021;Fazer Contato Cliente;Comunicar pedido Prefeitura ( vai vir ao escritório );;26/12/2019;26/12/2019;;
37551;PAQ 2019.021;Fazer Contato Terceiro;Retirar planta para retificar a pedido cliente;Prefeitura - GL;18/12/2019;26/12/2019;;
37550;ASS 2019.110;Aguardando Resposta Terceiros;Para anexar processos;Prefeitura - AM;18/12/2019;26/12/2019;;
37549;ASS 2019.110;Aguardando Resposta Terceiros;Para Providências;Prefeitura - GFO;11/12/2019;18/12/2019;;
37548;ASS 2013.057;Fazer Contato Cliente;Comunicar pedidos feitos ao Dardengo;Roberta;26/12/2019;26/12/2019;;
37547;ASS 2013.057;Aguardando Resposta Terceiros;Atender solicitação;Dardengo;26/12/2019;;;
37546;ASS 2013.057;Fazer Contato Terceiro;Comunicar pedidos Alcione ( Banhº paortaria e ART calculo tráfego );Dardengo;26/12/2019;26/12/2019;;
37545;ASS 2019.003;Aguardando Resposta Cliente;Retornar ligação;;26/12/2019;26/12/2019;;
37544;ASS 2019.003;Fazer Contato Cliente;Agendar Entrega e definir próxima etapa;Helio Campos;26/12/2019;26/12/2019;;
37543;ASS 2019.003;Fazer Contato Terceiro;Retirar projeto aprovado e alvará;Prefeitura - GL;26/12/2019;26/12/2019;;
37542;ASS 2019.003;Aguardando Resposta Terceiros;Elaborar Alvará;Prefeitura - SCUR;10/12/2019;26/12/2019;;
37541;PRS 2016.029;Aguardando Resposta Terceiros;Para entregar documentos ( Continua na ASS 2019.052 - L 18 Q 25 );Prefeitura - PDO;14/06/2019;16/06/2019;;
37540;PRS 2016.029;Aguardando Resposta Terceiros;C/ parcer da PGM;Prefeitura - GFO;12/06/2019;14/06/2019;;
37539;PRS 2016.029;Aguardando Resposta Terceiros;Acolho parecer;Prefeitura - PGM;12/06/2019;12/06/2019;;
37538;PRS 2016.029;Aguardando Resposta Terceiros;Para o parecer;Prefeitura - PGADM;05/06/2019;12/06/2019;;
37537;PRS 2019.019;Aguardando Resposta Terceiros;Dr. Wagner - Para o parecer;Prefeitura - PGM/AMUR;17/12/2019;;;
37536;PRS 2019.019;Aguardando Resposta Terceiros;Para conhecimento e manifestação;Prefeitura - PGM;17/12/2019;17/12/2019;;
37535;ASS 2018.124;Aguardando Resposta Terceiros;Vinícius - Re análise ( solicitou retificações );Prefeitura - GL;11/12/2019;26/12/2019;;
37534;PRS 2019.039;Fazer Desenho;Montar prancha com dados do levantamento Serginho;Livre;10/12/2019;;;
37533;PRS 2019.039;Aguardando Resposta Terceiros;Elaborar medição e enviar arquivo ( 600,00 - 2x );Serginho;09/12/2019;10/12/2019;;
37532;PRS 2019.039;Fazer Contato Terceiro;Solicitar medição terreno;Serginho;02/12/2019;09/12/2019;;
37531;PRS 2019.039;Aguardando Resposta Cliente;Aprovar Orçamento;;25/11/2019;02/12/2019;;
37530;PRS 2019.039;Fazer Contato Cliente;Enviar orçamento;;25/11/2019;25/11/2019;;
37529;ASS 2019.103;Aguardando;Anexo Protocolo 11731/2019;Prefeitura - GL;23/12/2019;;;
37528;ASS 2019.005;Aguardando Resposta Terceiros;Alcione - Análise;Prefeitura - GL;23/12/2019;;;
37527;ASS 2019.099;Aguardando Resposta Terceiros;Para conhecimento e providência;Prefeitura - SEMFA;19/12/2019;27/12/2019;;
37526;ASS 2019.092;Aguardando Resposta Terceiros;Paulo - Para Informar;Prefeitura - CFO;02/12/2019;27/12/2019;;
37525;ASS 2019.092;Aguardando Resposta Terceiros;Para Providências;Prefeitura - GFO;29/11/2019;02/12/2019;;
37524;ASS 2019.104;Aguardando Resposta Terceiros;Alcione - Análise;Prefeitura - GL;06/12/2019;;;
37523;ASS 2019.104;Aguardando Resposta Terceiros;Sandra - Para Informar;Prefeitura - CFO;03/12/2019;06/12/2019;;
37522;ASS 2019.104;Aguardando Resposta Terceiros;Para Providências;Prefeitura - GFO;02/12/2019;03/12/2019;;
37521;ASS 2018.065;Aguardando Resposta Terceiros;Alexandre e Thiago - Para Informar;Prefeitura - CFO;16/12/2019;;;
37520;ASS 2018.065;Aguardando Resposta Terceiros;Para Providências;Prefeitura - GFO;11/12/2019;16/12/2019;;
37519;ASS 2019.105;Aguardando Resposta Terceiros;Alcione - Análise;Prefeitura - GL;20/12/2019;;;
37518;ASS 2019.105;Aguardando Resposta Terceiros;Para Informar;Prefeitura - CFO;16/12/2019;20/12/2019;;
37517;ASS 2019.105;Aguardando Resposta Terceiros;Para Providências;Prefeitura - GFO;11/12/2019;16/12/2019;;
37516;ASS 2015.087;Aguardando Resposta Terceiros;Para Informar;Prefeitura - CFO;21/12/2019;;;
37515;ASS 2015.087;Aguardando Resposta Terceiros;Para providências;Prefeitura - GFO;20/12/2019;21/12/2019;;
37514;ASS 2012.167;Aguardando Resposta Terceiros;Karla - Para verificar necessidade de EIV;Prefeitura - GPUR;20/12/2019;;;
37513;PAQ 2019.019;Aguardando Resposta Cliente;Comunicar pagamento boleto;;24/12/2019;27/12/2019;;
37512;PAQ 2019.019;Fazer Contato Cliente;Definir forma pagamento boleto ( Enviar por zap );;24/12/2019;24/12/2019;;
37511;PAQ 2019.055;Fazer Desenho;Transformar em Projeto;Livre;23/12/2019;;;
37510;PAQ 2019.055;Fazer Contato Cliente;Apresentar Estudo ( Aprovado );;23/12/2019;23/12/2019;;
37509;ASS 2019.113;Fazer Contato Terceiro;Marcar reunião sobre alteração de divísas;Lolo ou Outro;23/12/2019;;;
37508;ASS 2019.120;Aguardando Resposta Terceiros;Vir ao escritório tirar dúvida sobre doação e Orçamento;Sandro - Cartório;24/12/2019;27/12/2019;;
37507;ASS 2019.120;Fazer Contato Terceiro;Solicitar orçamento doação apartamentos;Sandro - Cartório;24/12/2019;24/12/2019;;
37506;ASS 2019.120;Fazer Contato Terceiro;Devolver documentação retificada ( antes xerocar tudo - para Rosa );CRI - 1ª Zona;24/12/2019;26/12/2019;;
37505;ASS 2019.121;Fazer Contato Terceiro;Solicitar planta para descaracterização ( ESTA DE FÉRTIAS , VOLTA DIA 13/01 );Metro Topografia;24/12/2019;27/12/2019;;
37504;ASS 2019.121;Atividades Internas;Montar processo de Certidão de perímetro urbano;Secretária;24/12/2019;;;
37503;ASS 2019.121;Aguardando Resposta Cliente;Fornecer documentos solicitados;;24/12/2019;;;
37502;ASS 2019.121;Fazer Contato Cliente;Definir serviço e orçamento;;24/12/2019;24/12/2019;;
37501;ASS 2019.045;Aguardando Resposta Cliente;Fazer acerto valores ( ficou de pagar junto com o ASS 2019.121 );;24/12/2019;;;
37500;PRS 2019.030;Fazer Contato Cliente;Entregar dia 26 as 14:00 h;Pedro;24/12/2019;26/12/2019;;
37499;PRS 2019.031;Aguardando Resposta Cliente;Retornar ligação e mensagem ( pagar dia  02/01 );;24/12/2019;26/12/2019;;
37498;PRS 2019.030;Fazer Contato Cliente;Agendar Entrega;Pedro;24/12/2019;24/12/2019;;
37497;PRS 2019.031;Fazer Contato Cliente;Agendar entrega ( solicitei retorno via zap );Sebastião Ricardo;24/12/2019;24/12/2019;;
37496;ASS 2019.120;Aguardando Resposta Cliente;Devolver documentos assinados;Rosa;24/12/2019;24/12/2019;;
37495;ASS 2019.120;Aguardando Resposta Cliente;Vir ao escritório retirar documentos para assinar;Rosa;23/12/2019;24/12/2019;;
37494;PAQ 2019.055;Fazer Contato Terceiro;Enviar e Buscar Plotagem;Arquicópias;23/12/2019;23/12/2019;;
37493;PAQ 2019.055;Desenhando;;Helio Campos;23/12/2019;23/12/2019;;
37492;PRS 2019.031;Fazer Contato Terceiro;Solicitar Impressão de ART ( entregou aqui );Serginho;23/12/2019;24/12/2019;;
37491;PRS 2019.031;Fazer Contato Terceiro;Pagamento de ART;Bancos / Loteria;23/12/2019;23/12/2019;;
37490;ASS 2019.120;Fazer Contato Cliente;Solicitar Assinaturas  - condomínio (pediu pra enviar por email);;23/12/2019;23/12/2019;;
37489;ASS 2019.120;Fazer Contato Terceiro;Reconhecer Firma;;23/12/2019;23/12/2019;;
37488;ASS 2019.107;;;;;;;
37487;ASS 2019.062;Aguardando Resposta Cliente;Forma de pagamento ARO;;23/12/2019;;;
37486;ASS 2019.062;Fazer Contato Cliente;Definir forma de pagamento ARO ( 987,00 );;23/12/2019;23/12/2019;;
37485;ASS 2019.062;Fazer Contato Terceiro;Emitir taxa ARO;Receita Federal;23/12/2019;23/12/2019;;
37484;ASS 2019.062;Fazer Contato Cliente;Apresentar o que foi feito na Receita Federal;;23/12/2019;23/12/2019;;
37483;ASS 2019.062;Aguardando Resposta Cliente;Retornar contato (agendou às 10h);;23/12/2019;23/12/2019;;
37482;ASS 2019.062;Fazer Contato Cliente;Agendar apresentação ;;23/12/2019;23/12/2019;;
37481;PAQ 2017.024;Fazer Contato Terceiro;Para pagemento de imposto;Destefano;19/12/2019;20/12/2019;;
37480;ASS 2019.117;Aguardando Resposta Cliente;Vir ao Escritório;;23/12/2019;;06/01/2020;
37479;ASS 2019.045;Fazer Contato Cliente;Marcar reunião para apresentar novo orçamento ( Orçamento aprovado );;17/12/2019;24/12/2019;;
37478;ASS 2019.045;Atividades Internas;Montar orçamento;Helio Campos;10/12/2019;17/12/2019;;
37477;PAQ 2016.028;Aguardando Resposta Cliente;Aprovar Estudo 1;;22/12/2019;;;
37476;ASS 2019.120;Atividades Internas;Protocolo 120097 - Condomínio ( nota devolutiva ) Atender solicitação;Hermínia;20/12/2019;23/12/2019;;
37475;ASS 2019.073;Fazer Contato Terceiro;Fui chamado para conversas com Renata;CRI - 2ª Zona;20/12/2019;20/12/2019;;
37474;ASS 2019.113;Fazer Contato Terceiro;Solicitar orçamento de escritura;D. Andume;20/12/2019;23/12/2019;;
37473;ASS 2017.091;Fazer Contato Cliente;Receber parcela 5/6 ( a pedido cliente );;20/12/2019;20/12/2019;;
37472;ASS 2019.113;Fazer Contato Terceiro;Enviar escritura área unificada a pedido Matheus;Adhemar;17/12/2019;20/12/2019;;
37471;ASS 2019.113;Aguardando Resposta Terceiros;Retornar ligação quando puder marcar contato;Odete;20/12/2019;;;
37470;ASS 2019.055;Atividades Internas;Reconhecer firma;;20/12/2019;20/12/2019;;
37469;PRS 2019.030;Atividades Internas;Revelação de fotos;;20/12/2019;20/12/2019;;
37468;PRS 2019.031;Atividades Internas;Revelação de fotos;;20/12/2019;20/12/2019;;
37467;PRS 2019.032;Atividades Internas;Revelação de fotos;;20/12/2019;20/12/2019;;
37466;PAQ 2019.052;Aguardando Resposta Terceiros;Retornar contato;;20/12/2019;;;
37465;PAQ 2019.052;Fazer Contato Terceiro;Ligar para esclarecer ângulos divisas ( não atendeu -pedi retorno );Manu Perim;11/12/2019;20/12/2019;;
37464;PRS 2019.032;Aguardando Resposta Cliente;Retornar contato ( vai ligar dia 06/01 );;20/12/2019;;;
37463;PRS 2019.032;Fazer Contato Cliente;Agendar Entrega ( via zap );;20/12/2019;20/12/2019;;
37462;PRS 2019.032;Fazer Contato Terceiro;Solicitar Assinaturas;Milton Assad;20/12/2019;20/12/2019;;
37461;PRS 2019.032;Atividades Internas;Imprimir ART;Helio Campos;20/12/2019;20/12/2019;;
37460;PRS 2019.030;Fazer Contato Terceiro;Solicitar Impressão de  ART ( veio aqui assinar );Serginho;20/12/2019;24/12/2019;;
37459;ASS 2019.055;Aguardando Resposta Cliente;Atender solicitação;;20/12/2019;;;
37458;ASS 2019.119;Aguardando Resposta Cliente;Aprovar Orçamento;;20/12/2019;;;
37457;PRS 2019.030;Fazer Contato Terceiro;Pagar taxa / ART;Bancos / Loteria;20/12/2019;20/12/2019;;
37456;PRS 2019.031;Aguardando Resposta Terceiros;Elaborar nova ART correta;Serginho;20/12/2019;23/12/2019;;
37455;PRS 2019.031;Fazer Contato Terceiro;Enviar novo arquivo;Helio Campos;20/12/2019;20/12/2019;;
37454;PRS 2019.032;Fazer Contato Terceiro;Pagar taxa / ART;Bancos / Loteria;20/12/2019;20/12/2019;;
37453;ASS 2019.120;Aguardando Resposta Terceiros;Concluir processo - Construção;CRI - 1ª Zona;19/12/2019;23/12/2019;;
37452;ASS 2019.120;Fazer Contato Terceiro;Anexar documento solicitado e pagar complemento - Construção;CRI - 1ª Zona;19/12/2019;19/12/2019;;
37451;ASS 2019.073;Aguardando Resposta Terceiros;Concluir processo 2;CRI - 2ª Zona;19/12/2019;;;
37450;ASS 2019.073;Fazer Contato Terceiro;Explicar certidão IDAF;CRI - 2ª Zona;19/12/2019;19/12/2019;;
37449;ASS 2019.007;Aguardando Resposta Terceiros;Alcione - Reanálise;Prefeitura - GL;19/12/2019;;;
37448;ASS 2019.057;Aguardando Resposta Terceiros;Alcione - Re análise;Prefeitura - GL;19/12/2019;;;
37447;ASS 2019.057;Fazer Contato Terceiro;Devolver planta retificada e ART de execução;Prefeitura - GL;19/12/2019;19/12/2019;;
37446;ASS 2019.118;Atividades Internas;Localizar dados Confrontantes ( José Maria Ribeiro e Peri Farias de Oliveira );Helio Campos;19/12/2019;;;
37445;PRS 2019.032;Atividades Internas;elabor ART;Helio Campos;19/12/2019;20/12/2019;;
37444;PRS 2019.031;Fazer Contato Terceiro;Solicitar elaboração ART ( enviei arquivo errado );Serginho;19/12/2019;20/12/2019;;
37443;PRS 2019.030;Fazer Contato Terceiro;Solicitar elaboração ART;Serginho;19/12/2019;20/12/2019;;
37442;PAQ 2019.019;Fazer Contato Terceiro;Enviar e Buscar Plotagem;Print Mark ;19/12/2019;20/12/2019;;
37441;PAQ 2019.019;Desenhando;;Helio Campos;19/12/2019;19/12/2019;;
37440;ASS 2019.119;Aguardando Resposta Cliente;Atender solicitação;;19/12/2019;20/12/2019;;
37439;ASS 2019.068;Arquivar;;Helio Campos;19/12/2019;19/12/2019;;
37438;ASS 2019.055;Fazer Contato Cliente;Solicitar Assinaturas, informar custas;;19/12/2019;20/12/2019;;
37437;ASS 2019.007;Fazer Contato Terceiro;Devolver planta retificada;Prefeitura - GL;19/12/2019;19/12/2019;;
37436;ASS 2019.119;Fazer Contato Cliente;Solicitar vinda ao escritório;;17/12/2019;19/12/2019;;
37435;ASS 2018.049;Aguardando Resposta Terceiros;Definir defesa;Dr. Thiago;19/12/2019;;;
37434;ASS 2019.118;Aguardando Resposta Cliente;Definir próximo passo;;19/12/2019;19/12/2019;;
37433;ASS 2019.007;Aguardando Resposta Terceiros;Devolver planta anterior;Nelson Napolitano;19/12/2019;19/12/2019;;
37432;PRS 2019.031;Fazer Contato Terceiro;Enviar e Buscar Plotagem;Print Mark;19/12/2019;19/12/2019;;
37431;PRS 2019.030;Fazer Contato Terceiro;Enviar e Buscar Plotagem;Print Mark;19/12/2019;19/12/2019;;
37430;PRS 2019.032;Fazer Contato Terceiro;Enviar e Buscar Plotagem;Print Mark;19/12/2019;19/12/2019;;
37429;ASS 2019.112;Arquivar;;Helio Campos;19/12/2019;19/12/2019;;
37428;ASS 2019.120;Aguardando Resposta Terceiros;Protocolo 120097 - Condomínio ( nota devolutiva );CRI - 1ª Zona;16/12/2019;20/12/2019;;
37427;ASS 2019.120;Aguardando Resposta Cliente;Atender solicitação;Rosa;18/12/2019;19/12/2019;;
37426;ASS 2019.120;Fazer Contato Cliente;Solicitar documentos e valores Nota devolutiva - Construção;Rosa;18/12/2019;18/12/2019;;
37425;ASS 2019.120;Aguardando Resposta Terceiros;Protocolo 120096 - Construção ( Nota devolutiva );CRI - 1ª Zona;16/12/2019;18/12/2019;;
37424;ASS 2019.120;Fazer Contato Terceiro;Dar Entrada;CRI - 1ª Zona;16/12/2019;16/12/2019;;
37423;ASS 2019.073;Fazer Contato Terceiro;Retirar nota devolutiva;CRI - 2ª Zona;19/12/2019;19/12/2019;;
37422;ASS 2019.068;Fazer Contato Cliente;Entregar - as 10:30;;19/12/2019;19/12/2019;19/12/2019;
37421;ASS 2019.115;Atividades Internas;Ademir entregou documentos dele;;18/12/2019;18/12/2019;;
37420;PRS 2019.037;Arquivar;;Helio Campos;18/12/2019;18/12/2019;;
37419;ASS 2019.068;Fazer Contato Cliente;Agendar Entrega;;18/12/2019;19/12/2019;;
37418;ASS 2019.007;Fazer Contato Terceiro;Retirar plotagem ;Print mark;18/12/2019;18/12/2019;;
37417;ASS 2019.118;Aguardando Resposta Cliente;Dar retorno ( levou certidão );;18/12/2019;19/12/2019;;
37416;ASS 2019.118;Fazer Contato Cliente;Apresentar análise ( solicitei retorno );;18/12/2019;18/12/2019;;
37415;ASS 2018.096;Arquivar;;Helio Campos;16/12/2019;16/12/2019;;
37414;ASS 2018.096;Fazer Contato Cliente;Efetura pagamento ( 250,00+70,00=320,00);;16/12/2019;;;
37413;PAQ 2016.028;Fazer Contato Cliente;Apresentar Estudo às 20:00 do dia 21/12;;17/12/2019;22/12/2019;21/12/2019;
37412;PAQ 2016.028;Fazer Contato Cliente;Agendar entrega ;Poliana;17/12/2019;17/12/2019;;
37411;ASS 2015.087;Aguardando Resposta Terceiros;Tramitando;Prefeitura - SEMDURB;17/12/2019;20/12/2019;;
37410;ASS 2019.087;Aguardando Resposta Terceiros;Tramitando;Prefeitura - SEMFA;17/12/2019;20/12/2020;;
37409;ASS 2019.005;Aguardando Resposta Terceiros;Enviar para Prefeitura - GL;Prefeitura - SEMAD;04/12/2019;23/12/2019;;
37408;ASS 2019.069;Aguardando Resposta Terceiros;JeanSilvio - Reanálise;Prefeitura - GL;17/12/2019;02/01/2020;;
37407;ASS 2019.068;Fazer Contato Terceiro;Retirar processo pronto;CRI - 1ª Zona;18/12/2019;18/12/2019;;
